Temps (s),x (m),y (m)
0.0,0.0,2.0
0.05,0.22497566339028877,2.2558530550916425
0.1,0.44995132678057753,2.487181110183285
0.15000000000000002,0.6749269901708663,2.6939841652749275
0.2,0.8999026535611551,2.876262220366569
0.25,1.1248783169514438,3.034015275458212
0.30000000000000004,1.3498539803417327,3.167243330549854
0.35000000000000003,1.5748296437320215,3.2759463856414963
0.4,1.7998053071223101,3.3601244407331383
0.45,2.024780970512599,3.419777495824781
0.5,2.2497566339028876,3.4549055509164237
0.55,2.4747322972931767,3.4655086060080658
0.6000000000000001,2.6997079606834653,3.451586661099708
0.65,2.924683624073754,3.4131397161913513
0.7000000000000001,3.149659287464043,3.3501677712829925
0.75,3.3746349508543316,3.262670826374635
0.8,3.5996106142446203,3.150648881466277
0.8500000000000001,3.8245862776349093,3.01410193655792
0.9,4.049561941025198,2.853029991649562
0.9500000000000001,4.274537604415487,2.6674330467412046
1.0,4.499513267805775,2.457311101832847
