t (s),y (m),v (m/s)
0.0,0.0,0.0
0.1,0.043114978225601314,0.8085400870975948
0.2,0.1528698211243715,1.3505207155025143
0.30000000000000004,0.30729470117866897,1.7138211952853248
0.4,0.49166280259547307,1.9573487896181079
0.5,0.6961024455344482,2.1205902178622074
0.6000000000000001,0.9139964451105713,2.230014219557716
0.7000000000000001,1.140909169647087,2.3033633214116533
0.8,1.373867326314236,2.352530694743057
0.9,1.6108778573254965,2.385488570698015
1.0,1.8506047760936553,2.4075808956253795
1.1,2.0921525440280693,2.4223898238877246
1.2,2.330,2.432
1.3,2.570,2.438
1.4,2.810,2.442
1.5,3.050,2.445
